23-3-23 下午10:14
项目统计数据

       	 片段数	 单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	1345	5542	    48506	    50214	  29	
剩余片段：  	1081	3628	    34498	    35483	  29	
独特片段：  	1213	4270	    38894	    40081	  29	
剩余独特片段：	1017	3554	    33847	    34822	  29	


各文件统计数据：

文件名                                         	总片段数	剩余片段数	独特片段数	剩余独特片段数	总单词数	剩余单词数	独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
c.adoc.po                                   	 110	   59	  110	     59	 243	   96	  243	     96	      1941	        941	       1941	          941	      2004	        976	       2004	          976	
compatibility-statement.adoc.po             	  34	   13	   33	     13	  97	   19	   57	     19	       683	        106	        383	          106	       705	        106	        387	          106	
cpu-model-validation-and-exportation.adoc.po	  22	    8	   21	      8	 116	   10	   76	     10	      1237	        604	        937	          604	      1297	        604	        979	          604	
csharp.adoc.po                              	 130	   74	   49	     25	 293	   87	  157	     38	      2107	        839	        958	          296	      2161	        851	        992	          308	
developer-model.adoc.po                     	  86	   14	   85	     14	 296	   16	  256	     16	      2575	        258	       2275	          258	      2666	        260	       2348	          260	
example-project.adoc.po                     	  27	    9	   26	      9	 155	    9	  115	      9	      1303	        245	       1003	          245	      1366	        245	       1048	          245	
example-projects.adoc.po                    	  85	   84	   84	     84	 543	  503	  503	    503	      5641	       5341	       5341	         5341	      5795	       5477	       5477	         5477	
faq.adoc.po                                 	  25	   24	   24	     24	 176	  136	  136	    136	      1679	       1379	       1379	         1379	      1731	       1413	       1413	         1413	
filter-images.adoc.po                       	  17	   16	   15	     15	  90	   50	   48	     48	       835	        535	        523	          523	       859	        541	        528	          528	
getting-started.adoc.po                     	  25	   24	   24	     24	 148	  108	  108	    108	      1205	        905	        905	          905	      1259	        941	        941	          941	
improve-model-accuracy.adoc.po              	 165	  164	  164	    164	 644	  604	  604	    604	      7467	       7167	       7167	         7167	      7597	       7279	       7279	         7279	
installation.adoc.po                        	  33	   32	   31	     31	 133	   93	   92	     92	       932	        632	        629	          629	       991	        673	        670	          670	
introduction.adoc.po                        	  54	   53	   52	     52	 220	  180	  178	    178	      2453	       2153	       2141	         2141	      2498	       2180	       2167	         2167	
keyboard-shortcut.adoc.po                   	 121	  120	  119	    119	 212	  172	  171	    171	       862	        562	        560	          560	       942	        624	        622	          622	
mech-dlk.adoc.po                            	  41	   40	   40	     40	 160	  120	  120	    120	      1337	       1037	       1037	         1037	      1369	       1051	       1051	         1051	
new-project.adoc.po                         	  17	   16	   16	     16	 137	   97	   97	     97	      1061	        761	        761	          761	      1133	        815	        815	          815	
operation-model.adoc.po                     	  15	   14	   14	     14	 119	   79	   79	     79	      1083	        783	        783	          783	      1116	        798	        798	          798	
release-note.adoc.po                        	  29	   28	   28	     28	 212	  172	  172	    172	      1817	       1517	       1517	         1517	      1882	       1564	       1564	         1564	
requirements.adoc.po                        	  10	    9	    8	      8	  75	   35	   34	     34	       569	        269	        265	          265	       603	        285	        281	          281	
ROOT-nav.po                                 	  38	   33	   33	     33	 126	   82	   82	     82	      1193	        877	        877	          877	      1215	        881	        881	          881	
sdk-api.adoc.po                             	   4	    3	    3	      3	  46	    6	    6	      6	       337	         37	         37	           37	       356	         38	         38	           38	
sdk-getting-start.adoc.po                   	   6	    5	    5	      5	  60	   20	   20	     20	       448	        148	        148	          148	       474	        156	        156	          156	
sdk-introduction.adoc.po                    	  28	   27	   20	     20	 134	   94	   80	     80	       769	        469	        416	          416	       847	        529	        469	          469	
smart-labeling-tool.adoc.po                 	  34	   33	   30	     30	 187	  147	  143	    143	      1906	       1606	       1584	         1584	      1944	       1626	       1603	         1603	
software-prerequisites.adoc.po              	  56	   55	   55	     55	 308	  268	  268	    268	      2123	       1823	       1823	         1823	      2275	       1957	       1957	         1957	
solve-difficult-problems.adoc.po            	  43	   37	   37	     37	 198	  131	  131	    131	      1964	       1425	       1425	         1425	      2008	       1446	       1446	         1446	
terminology.adoc.po                         	  32	   31	   31	     31	  96	   56	   56	     56	       741	        441	        441	          441	       766	        448	        448	          448	
trial-license.adoc.po                       	  18	   17	   17	     17	 110	   70	   70	     70	       780	        480	        480	          480	       827	        509	        509	          509	
update-license.adoc.po                      	  40	   39	   39	     39	 208	  168	  168	    168	      1458	       1158	       1158	         1158	      1528	       1210	       1210	         1210	
